S,family,base,strategy,n_DMC,n_bank,min_mean,bks_per_dmc,bank8,maxload,minload,note
4608B,grain512,0x1e00,shear,199,839,0.0130,1-6,1,124,1,4608B alone
4608B,grain512,0x3e00,shear,201,841,0.0131,1-6,1,124,1,4608B alone
4608B,grain512,0x7e00,shear,200,840,0.0130,1-6,1,124,1,4608B alone
4608B,grain512,0x0,sbox,384,2304,0.9000,6-6,1,43,36,4608B alone
4608B,grain512,0x200,sbox,384,2304,0.9000,6-6,1,43,36,4608B alone
4608B,grain512,0x400,sbox,384,2304,0.9000,6-6,1,43,36,4608B alone
4608B,grain512,0x600,sbox,384,2304,0.9000,6-6,1,43,36,4608B alone
4608B,grain512,0xe00,sbox,384,2304,0.9000,6-6,1,43,36,4608B alone
4608B,grain512,0x1e00,sbox,384,2304,0.9000,6-6,1,43,36,4608B alone
4608B,grain512,0x3e00,sbox,384,2304,0.9000,6-6,1,43,36,4608B alone
4608B,grain512,0x7e00,sbox,384,2304,0.9000,6-6,1,43,36,4608B alone
4608B,grain512,REL_DIFF,sns,384.00 ± 0.00 (n=8),,,,,,,rel_diff=0.0000
4608B,grain512,REL_DIFF,mod384,128.00 ± 0.00 (n=8),,,,,,,rel_diff=0.0000
4608B,grain512,REL_DIFF,low,384.00 ± 0.00 (n=8),,,,,,,rel_diff=0.0000
4608B,grain512,REL_DIFF,high,34.00 ± 0.00 (n=8),,,,,,,rel_diff=0.0000
4608B,grain512,REL_DIFF,shear,200.38 ± 0.52 (n=8),,,,,,,rel_diff=0.0100
4608B,grain512,REL_DIFF,sbox,384.00 ± 0.00 (n=8),,,,,,,rel_diff=0.0000
512B,grain512,0x0,sns,384,9008,0.9000,22-24,4,42,36,
512B,grain512,0x200,sns,384,9008,0.9000,22-24,4,42,36,
512B,grain512,0x400,sns,384,9008,0.9000,22-24,4,42,36,
512B,grain512,0x600,sns,384,9008,0.9000,22-24,4,42,36,
512B,grain512,0xe00,sns,384,9008,0.9000,22-24,4,42,36,
512B,grain512,0x1e00,sns,384,9008,0.9000,22-24,4,42,36,
512B,grain512,0x3e00,sns,384,9008,0.9000,22-24,4,42,36,
512B,grain512,0x7e00,sns,384,9012,0.9000,22-24,4,42,36,
512B,grain512,0x0,mod384,384,384,1.0000,1-1,1,40,40,
512B,grain512,0x200,mod384,384,384,1.0000,1-1,1,40,40,
512B,grain512,0x400,mod384,384,384,1.0000,1-1,1,40,40,
512B,grain512,0x600,mod384,384,384,1.0000,1-1,1,40,40,
512B,grain512,0xe00,mod384,384,384,1.0000,1-1,1,40,40,
512B,grain512,0x1e00,mod384,384,384,1.0000,1-1,1,40,40,
512B,grain512,0x3e00,mod384,384,384,1.0000,1-1,1,40,40,
512B,grain512,0x7e00,mod384,384,384,1.0000,1-1,1,40,40,
512B,grain512,0x0,low,384,384,0.7500,1-1,1,60,30,
512B,grain512,0x200,low,384,384,0.7500,1-1,1,60,30,
512B,grain512,0x400,low,384,384,0.7500,1-1,1,60,30,
512B,grain512,0x600,low,384,384,0.7500,1-1,1,60,30,
512B,grain512,0xe00,low,384,384,0.7500,1-1,1,60,30,
512B,grain512,0x1e00,low,384,384,0.7500,1-1,1,60,30,
512B,grain512,0x3e00,low,384,384,0.7500,1-1,1,60,30,
512B,grain512,0x7e00,low,384,384,0.7500,1-1,1,60,30,
512B,grain512,0x0,high,4,4,0.8000,1-1,1,4096,3072,
512B,grain512,0x200,high,4,4,0.8003,1-1,1,4096,3073,
512B,grain512,0x400,high,4,4,0.8005,1-1,1,4096,3074,
512B,grain512,0x600,high,4,4,0.8008,1-1,1,4096,3075,
512B,grain512,0xe00,high,4,4,0.8018,1-1,1,4096,3079,
